#TYPE System.Management.Automation.PSCustomObject
"Tipo de Equipamento","Patrimonio","Hostname","Fabricante","Modelo","Numero de Serie","Processador","Memoria","HD","SO","Nota FIscal","Data de Compra","Observacao Equipamento","Login","Data Ultimo Login","Matricula","Solicitacao","Site","Nome do Entregador","Data da Entrega","Observacao Vinculo"
"Desktop",,"DT017675E","LENOVO","3569A8P","L1CBBRP","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","449GB
16GB
","Microsoft Windows 7 Professional ","","","","BRQ\rmarcondes","01/08/2015 12:22:06","","","BV","","",""
"Notebook",,"NB016561E","LENOVO","3254E4P","R7001K3","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","8GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\rluz","01/08/2015 11:58:50","","","BV","","",""
"Desktop",,"DT017681","LENOVO","5474G4P","L1BZX6R","Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz","4GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\rconstantino","01/08/2015 12:40:01","","","BV","","",""
"Notebook",,"NB016640","LENOVO","3254E4P","R7001H5","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","8GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\fabiofraga","01/08/2015 12:33:59","","","BV","","",""
"Desktop",,"DT018273","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNSH","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","8GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\igabriel","01/08/2015 12:38:04","","","BV","","",""
"Desktop",,"DT016290","LENOVO","7099A5P","L1BXC80","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\lfcabral","01/08/2015 12:37:30","","","BV","","",""
"Desktop",,"DT014436","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","233GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Desktop",,"DT022164","LENOVO","3569A8P","L1CBBPN","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\fsanches","01/08/2015 12:41:24","","","BV","","",""
"Desktop",,"DT015844","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\walacesouza","01/08/2015 12:37:33","","","BV","","",""
"Desktop",,"DT012493","LENOVO","7848","l1bmxbl","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","233GB
","Microsoft Windows 7 Professional ","","","","BRQ\alancardoso","01/08/2015 12:11:57","","","BV","","",""
"Desktop",,"DT014432","LENOVO","7848","l1bpaky","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Notebook",,"NB016637","LENOVO","3254E4P","R7001GH","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\andrefrazao","01/08/2015 12:45:47","","","BV","","",""
"Desktop",,"DT012465","LENOVO","7848","l1bmxpz","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\LUIZMASSARENTE","01/08/2015 12:20:53","","","BV","","",""
"Desktop",,"DT012476","LENOVO","IPM31","123456789","Intel Pentium III Xeon processor","2GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\ROVIGANICO","01/08/2015 12:22:32","","","BV","","",""
"Notebook",,"NB018046","LENOVO","32549BP","R7005HL","Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\rflaperuta","01/08/2015 12:37:35","","","BV","","",""
"Notebook",,"NB018175","LENOVO","3254E4P","R7003ZK","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\marciowendel","01/08/2015 12:14:18","","","BV","","",""
"Desktop",,"DT007010","Dell Inc.","Vostro 200","JJFGQF1","Intel(R) Pentium(R) Dual  CPU  E2160  @ 1.80GHz","2GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\WYUKIMIDE","01/08/2015 12:52:32","","","BV","","",""
"Notebook",,"NB023766","LENOVO","627793P","PEDVY34","Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz","16GB","200GB
266GB
","Microsoft Windows 7 Professional ","","","","BRQ\hugomartinez","01/08/2015 12:50:36","","","BV","","",""
"Notebook",,"NB018110E","LENOVO","3254E4P","R7003FH","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","451GB
","Microsoft Windows 7 Professional ","","","","BRQ\crcosta","01/08/2015 12:45:32","","","BV","","",""
"Desktop",,"DT012098","LENOVO","7848","l1bm9xw","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\MVARAUJO","01/08/2015 12:02:45","","","BV","","",""
"Desktop",,"DT009441","LENOVO","7848b5p","l1bd7ym","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\kborges","01/08/2015 12:33:56","","","BV","","",""
"Desktop",,"DT022140","LENOVO","3569A8P","L1CBG2P","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\azampieri","01/08/2015 12:56:18","","","BV","","",""
"Desktop",,"DT017817E","LENOVO","3569A8P","L1CBG25","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\wleite","01/08/2015 12:32:15","","","BV","","",""
"Desktop",,"DT012402","LENOVO","7848","l1blx6h","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","233GB
931GB
","Microsoft Windows 7 Professional ","","","","BRQ\gcsouza","01/08/2015 11:55:52","","","BV","","",""
"Desktop",,"DT012492","LENOVO","7848","l1bmxz4","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","4GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\fgomes","01/08/2015 12:37:47","","","BV","","",""
"Desktop",,"DT017759E","LENOVO","3569A8P","L1CBBPH","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\sergioesteves","01/08/2015 12:49:49","","","BV","","",""
"Desktop",,"DT016293","LENOVO","7099A5P","L1BXCHT","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\PSMARTINS","01/08/2015 12:59:20","","","BV","","",""
"Notebook",,"NB016260","LENOVO","0913                            ","3000307200897","Intel(R) Core(TM) i3 CPU       M 350  @ 2.27GHz","4GB","297GB
","Microsoft Windows 7 Professional ","","","","BRQ\ebakanovas","01/08/2015 12:18:53","","","BV","","",""
"Desktop",,"DT014434","LENOVO","7848","l1bmxvy","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\AOSANTOS","01/08/2015 12:26:05","","","BV","","",""
"Desktop",,"DT011367","LENOVO","7848","l1bl95k","Intel Pentium III Xeon processor","1GB","233GB
","Microsoft Windows XP Professional","","","","BRQ\LMARCONI","01/08/2015 12:33:45","","","BV","","",""
"Notebook",,"NB018127E","LENOVO","3254E4P","R7003PY","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\radleygustavo","01/08/2015 12:56:03","","","BV","","",""
"Notebook",,"NB023641","LENOVO","3254H4P","R700D93","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\avaleriano","01/08/2015 12:53:52","","","BV","","",""
"Desktop",,"DT022149","LENOVO","3569A8P","L1CBG6T","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\alandy","01/08/2015 13:02:33","","","BV","","",""
"Desktop",,"DT012426","LENOVO","7848","l1bn0gx","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\DOUGLASSOUZA","01/08/2015 13:04:58","","","BV","","",""
"Desktop",,"DT017686E","LENOVO","3569A8P","L1CBG6M","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","449GB
16GB
","Microsoft Windows 7 Professional ","","","","BRQ\misaelrt","01/08/2015 12:52:10","","","BV","","",""
"Desktop",,"DT022157","LENOVO","3569A8P","L1CBBHF","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\ricardoasouza","01/08/2015 12:54:03","","","BV","","",""
"Desktop",,"DT018268","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNTK","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","7GB","233GB
","Microsoft Windows 7 Professional ","","","","BRQ\diogogiordani","01/08/2015 13:02:21","","","BV","","",""
"Desktop",,"DT009460","LENOVO","7848b5p","l1bd84h","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","74GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Notebook",,"NB0020129","Hewlett-Packard","HP 430 Notebook PC              ","BRG220FBGY","Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\ccyrino","01/08/2015 12:57:08","","","BV","","",""
"Desktop",,"DT018260","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNRT","Intel Pentium III Xeon processor","4GB","466GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Desktop",,"DT012048","LENOVO","7848","l1bm9cb","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\ARGARCIA","01/08/2015 13:04:05","","","BV","","",""
"Desktop",,"DT013132","LENOVO","7848","l1bpan3","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\TELMAPEDROSO","01/08/2015 12:32:10","","","BV","","",""
"Desktop",,"DT022138","LENOVO","3569A8P","L1CBBKR","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\nairacatherine","01/08/2015 13:06:03","","","BV","","",""
"Desktop",,"DT009466","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\JMS","01/08/2015 11:47:08","","","BV","","",""
"Desktop",,"DT018252","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNQB","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","8GB","349GB
116GB
","Microsoft Windows 7 Professional ","","","","BRQ\rodrigoniak","01/08/2015 11:36:05","","","BV","","",""
"Desktop",,"DT014429","LENOVO","IPM31","123456789","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\PGOMES","01/08/2015 13:03:30","","","BV","","",""
"Desktop",,"DT012093","LENOVO","7848","l1bm9cd","Intel Pentium III Xeon processor","2GB","233GB
","Microsoft Windows XP Professional","","","","BRQ\CZILIOLI","01/08/2015 13:07:35","","","BV","","",""
"Notebook",,"NB020141","Hewlett-Packard","HP 430 Notebook PC              ","BRG220FBGC","Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\wataliba","01/08/2015 13:05:31","","","BV","","",""
"Desktop",,"DT016297","LENOVO","7099A5P","L1BWWY5","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\AUCHOA","01/08/2015 13:04:05","","","BV","","",""
"Desktop",,"DT017795","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNRG","        Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","2GB","466GB
298GB
","Microsoft Windows XP Professional","","","","BRQ\JCBGOMES","01/08/2015 13:02:07","","","BV","","",""
"Desktop",,"DT012085","LENOVO","IPM31","123456789","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\WSSANTOS","01/08/2015 12:18:49","","","BV","","",""
"Notebook",,"NB0020074","LENOVO","057938P","R6C4565","Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\cleberrsantos","01/08/2015 13:09:29","","","BV","","",""
"Desktop",,"DT012096","LENOVO","7848","l1bm9ck","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\nishi","01/08/2015 13:02:00","","","BV","","",""
"Desktop",,"DT017407","LENOVO","5474G4P","L1BZGBW","Intel(R) Core(TM) i3 CPU         550  @ 3.20GHz","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\FTARABAY","01/08/2015 13:02:28","","","BV","","",""
"Notebook",,"NB018143E","LENOVO","32549BP","R7006MW","Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz","8GB","466GB
466GB
","Microsoft Windows 7 Professional ","","","","BRQ\orion","01/08/2015 13:03:54","","","BV","","",""
"Notebook",,"NB016578","LENOVO","3254E4P","R7000YZ","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\mcraveiro","01/08/2015 12:28:04","","","BV","","",""
"Desktop",,"DT018242","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNQ8","        Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","4GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\UMENEZES","01/08/2015 12:34:59","","","BV","","",""
"Desktop",,"DT016289","LENOVO","7099A5P","L1BX9W6","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\thatianecalegari","01/08/2015 12:45:59","","","BV","","",""
"Desktop",,"DT012360","LENOVO","7848","l1blxxa","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\gperillo","01/08/2015 13:12:36","","","BV","","",""
"Desktop",,"DT009464","LENOVO","7848b5p","l1bd9ag","Intel Pentium III Xeon processor","3GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\M.SILVA","01/08/2015 11:48:22","","","BV","","",""
"Notebook",,"NB016633E","LENOVO","3254E4P","R70018E","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Notebook",,"NB023607","LENOVO","3254H4P","R701P0L","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\vvigati","01/08/2015 13:04:25","","","BV","","",""
"Desktop",,"DT016310","LENOVO","7099A5P","L1BX9D9","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\APSSILVA","01/08/2015 13:04:01","","","BV","","",""
"Desktop",,"DT017155","LENOVO","7099A5P","L1BX9RP","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Desktop",,"DT022132","LENOVO","3569A8P","L1CBG1R","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\lrsantos","31/07/2015 17:08:15","","","BV","","",""
"Notebook",,"NB022025","LENOVO","3254H4P","R700C77","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\fabianoprazeres","01/08/2015 12:53:11","","","BV","","",""
"Desktop",,"DT017719E","LENOVO","3569A8P","L1CBBPT","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","412GB
49GB
","Microsoft Windows 7 Professional ","","","","BRQ\alanpenha","01/08/2015 13:21:45","","","BV","","",""
"Notebook",,"NB016623E","LENOVO","3254E4P","R7001C7","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\haroldoassis","01/08/2015 13:19:59","","","BV","","",""
"Desktop",,"DT012372","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Desktop",,"DT018279","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNR8","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","4GB","233GB
","Microsoft Windows 7 Professional ","","","","BRQ\douglasmartinez","01/08/2015 12:25:28","","","BV","","",""
"Desktop",,"DT012081","LENOVO","IPM31","123456789","Intel Pentium III Xeon processor","2GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\RVETTORAZZO","01/08/2015 12:11:25","","","BV","","",""
"Notebook",,"NB023614","LENOVO","3254H4P","R701P0X","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\mcobo","01/08/2015 12:57:01","","","BV","","",""
"Desktop",,"DT014405","LENOVO","7848","l1bparx","Intel Pentium III Xeon processor","3GB","233GB
","Microsoft Windows XP Professional","","","","BRQ\MARCIAFEITOSA","01/08/2015 13:17:52","","","BV","","",""
"Desktop",,"DT009461","LENOVO","7848b5p","l1bd9dl","Intel Pentium III Xeon processor","3GB","149GB
","Microsoft Windows XP Professional","","","","BRQ\ROSERICCETTO","01/08/2015 13:19:44","","","BV","","",""
"Desktop",,"DT012482","LENOVO","7848","l1bmxg2","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","149GB
","Microsoft Windows 7 Professional ","","","","BRQ\paulo.real","01/08/2015 12:57:26","","","BV","","",""
"Notebook",,"NB018190E","LENOVO","3254E4P","R7003XN","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\c.monteiro","01/08/2015 13:22:26","","","BV","","",""
"Notebook",,"NB017285","LENOVO","0913                            ","3100297202617","Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz","3GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\ingridlopesrufino","01/08/2015 13:15:31","","","BV","","",""
"Desktop",,"DT0112564","IPM31","STI","091212835","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","75GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Notebook",,"NB023631","LENOVO","3254H4P","R700KHB","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\latanza","01/08/2015 13:22:47","","","BV","","",""
"Notebook",,"NB022217","LENOVO","3254H4P","R700A0C","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\josebamorim","01/08/2015 13:26:04","","","BV","","",""
"Desktop",,"DT017716E","LENOVO","3569A8P","L1CBFPA","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","412GB
49GB
","Microsoft Windows 7 Professional ","","","","BRQ\dnunes","01/08/2015 13:29:42","","","BV","","",""
"Desktop",,"DT017695","LENOVO","3569A8P","L1CBG88","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","6GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\emoisinho","01/08/2015 13:13:05","","","BV","","",""
"Desktop",,"DT017692E","LENOVO","3569A8P","L1CBBT5","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","412GB
49GB
","Microsoft Windows 7 Professional ","","","","BRQ\monicav","01/08/2015 13:07:35","","","BV","","",""
"Desktop",,"DT016285","LENOVO","7099A5P","L1BX8WH","Intel Pentium III Xeon processor","4GB","298GB
","Microsoft Windows XP Professional","","","","ADMINISTRATOR","01/08/2015 06:17:25","","","BV","","",""
"Desktop",,"DT017724E","LENOVO","3569A8P","L1CBG8M","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","4GB","412GB
49GB
","Microsoft Windows 7 Professional ","","","","BRQ\rvsantos","01/08/2015 13:05:10","","","BV","","",""
"Desktop",,"DT013130","LENOVO","7848","l1bp0k0","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows 7 Professional ","","","","BRQ\arubello","01/08/2015 13:12:15","","","BV","","",""
"Notebook",,"NB020118","LENOVO","1141EJP","L1C78ZP","Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz","8GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\lcobo","01/08/2015 13:30:59","","","BV","","",""
"Desktop",,"DT012356","LENOVO","IPM31","123456789","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\GABRIELXAVIER","01/08/2015 13:31:00","","","BV","","",""
"Desktop",,"DT017095","LENOVO","7099A5P","L1BX9T7","Intel Pentium III Xeon processor","2GB","298GB
","Microsoft Windows XP Professional","","","","ADMINISTRATOR","01/08/2015 12:37:13","","","BV","","",""
"Desktop",,"DT017163","LENOVO","7099A5P","L1BX9KX","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","2GB","298GB
","Microsoft Windows XP Professional","","","","ADMINISTRATOR","31/07/2015 17:28:24","","","BV","","",""
"Desktop",,"DT018263","Hewlett-Packard","HP Compaq 6200 Pro MT PC","BRG142FNQP","        Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz","2GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\WNOBREGA","01/08/2015 12:56:34","","","BV","","",""
"Notebook",,"NB023799","Insyde","HP Pavilion 14 Notebook PC      ","BRJ446BRW8","Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz","16GB","931GB
","Microsoft Windows 7 Professional ","","","",,,"","","BV","","",""
"Notebook",,"NB022007","LENOVO","3254H4P","R700C6W","Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz","4GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\lmagalhaes","01/08/2015 13:09:22","","","BV","","",""
"Desktop",,"DT017667E","LENOVO","3569A8P","L1CBBPA","Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz","8GB","466GB
","Microsoft Windows 7 Professional ","","","","BRQ\brunocampos","01/08/2015 13:26:43","","","BV","","",""
"Notebook",,"NB016600E","LENOVO","3254E4P","R70010M","Intel(R) Core(TM) i3-2330M CPU @ 2.20GHz","4GB","465GB
","Microsoft Windows 7 Professional ","","","","BRQ\eltondias","01/08/2015 13:34:49","","","BV","","",""
"Desktop",,"DT017152","LENOVO","7099A5P","L1BXCDV","Processador Intel Pentium III Xeon","2GB","298GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Desktop",,"DT015229","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","3GB","298GB
","Microsoft Windows XP Professional","","","",,,"","","BV","","",""
"Desktop",,"DT014658","LENOVO","IPM31","123456789","Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz","1GB","298GB
","Microsoft Windows XP Professional","","","","BRQ\RUEHARA","01/08/2015 13:14:01","","","BV","","",""
"Notebook",,"NB014527","Hewlett-Packard","Compaq 510","BRG035G6VH","Intel(R) Core(TM)2 Duo CPU     T5870  @ 2.00GHz","2GB","233GB
","Microsoft Windows 7 Professional ","","","","BRQ\cdazevedo","01/08/2015 13:08:53","","","BV","","",""
